Year,Sex,Age,Cohort,N/Q_NDC_IP,N/Q_DC_PP,N/Q_DC_Tjp,Exp_life,Exp_life2,Inh_gain,Inh_gain2
1991.0,0.0,61.0,1930.0,17.18,18.1,18.64,20.69,21.7,1.009753,1.010013
1991.0,1.0,61.0,1930.0,15.57,16.7,17.16,18.47,19.6,1.01306,1.013561
1991.0,2.0,61.0,1930.0,18.77,19.47,20.07,22.9,23.78,1.00649,1.006573
1992.0,0.0,62.0,1930.0,16.61,17.57,18.07,19.89,20.93,1.0108,1.010835
1992.0,1.0,62.0,1930.0,15.02,16.19,16.63,17.71,18.88,1.014252,1.014621
1992.0,2.0,62.0,1930.0,18.18,18.9,19.48,22.05,22.95,1.007417,1.007191
1993.0,0.0,63.0,1930.0,16.04,17.04,17.51,19.1,20.17,1.011627,1.011922
1993.0,1.0,63.0,1930.0,14.46,15.68,16.09,16.95,18.17,1.015546,1.01595
1993.0,2.0,63.0,1930.0,17.6,18.34,18.88,21.21,22.13,1.007817,1.008075
1994.0,0.0,64.0,1930.0,15.48,16.51,16.96,18.32,19.42,1.013252,1.012108
1994.0,1.0,64.0,1930.0,13.9,15.18,15.56,16.21,17.48,1.01777,1.015631
1994.0,2.0,64.0,1930.0,17.01,17.78,18.29,20.37,21.31,1.008896,1.008766
1995.0,0.0,65.0,1930.0,14.92,15.97,16.39,17.55,18.69,1.014566,1.013726
1995.0,1.0,65.0,1930.0,13.35,14.65,15.01,15.48,16.81,1.019638,1.01833
1995.0,2.0,65.0,1930.0,16.42,17.22,17.69,19.54,20.51,1.009724,1.009397
1996.0,0.0,66.0,1930.0,14.36,15.44,15.83,16.8,17.98,1.015791,1.015321
1996.0,1.0,66.0,1930.0,12.81,14.15,14.48,14.78,16.16,1.021555,1.020898
1996.0,2.0,66.0,1930.0,15.83,16.65,17.1,18.73,19.72,1.01035,1.010132
1997.0,0.0,67.0,1930.0,13.8,14.92,15.28,16.06,17.28,1.017191,1.01689
