# Typfallsmodellen reference results
# model: Version 4.8
# workbook: typfallsmodellen.xlsb
# exported: 2026-09-13 14:20:44
# referensar: 2025.
# marginal: 0.
# belopp12: 1.
# compareTo: 0.
# avkastning_val: 2.
# hyra: 6300.
# ansokt_bt: 1.
# cases: 65
# caseset: quick
# start.Gift: 0
# adv.Variabelnamn: 0.   (row 2)
# adv.w_time: 67.   (row 4)
# adv.IPS_Monthly: 0.   (row 11)
# adv.IPS_start: 2026.   (row 12)
# adv.rng_Kapitalförsäkring: 0.   (row 13)
# adv.TJP_PAR: 65.   (row 14)
# adv.rng_Arvsvinster_TJP: 1.   (row 15)
# adv.Rgk: 0.01   (row 16)
# adv.rng_Temp_Tjp_Uttag: 0.   (row 17)
# adv.rng_Temp_IPS_Uttag: 0.   (row 18)
# adv.rng_Försäkringstid_vid_65: 40.   (row 21)
# adv.Rng_Ansokt: 1.   (row 29)
# adv.Hyra: 6300.   (row 30)
# adv.rng_Makens_inkomst: 0.   (row 31)
# adv.rng_Formogenhet: 0.   (row 32)
# adv.rng_Make_Bald: 1958.   (row 33)
# adv.rng_Kapital_pens: 0.   (row 34)
# adv.RNG_dela: 2.   (row 36)
# adv.rng_Kommunalskatt: 0.   (row 39)
# adv.rng_Begravningsavgift: 0.   (row 40)
# adv.rngPens_Inflation: 0.   (row 43)
# adv.rng_Syntetisk: 0.   (row 44)
# adv.rng_Since_Year_Nyckeltal: 0.   (row 45)
# adv.rng_FlexPens: 0.   (row 46)
# adv.marginal: 0.   (row 47)
# adv.rng_Senaste_Index_Framskrivning: 1.   (row 48)
# adv.rng_Förenklad_beräkning: 0.   (row 49)
# adv.wStartYear_AdvSettings: 1.   (row 50)
# adv.rng_Fondförsäkring: 1.   (row 51)
# adv.Rng_ddelat: 0.   (row 52)
# adv.rng_nypropp: 0.   (row 53)
# adv.rng_mftid: 0.   (row 54)
# adv.rng_tabell2_startAge: 56.   (row 55)
# adv.Visa_process: 1.   (row 58)
# adv.fack: 0.   (row 60)
# adv.akasseavg: 0.   (row 61)
# adv.satagare: 0.   (row 63)
# adv.w_ref: 2025.   (row 64)
# adv.Rng_belopp12: 1.   (row 66)
# adv.Alt_p_age: 0.   (row 67)
# adv.Rng_compareTo: 0.   (row 68)
# adv.Scenario: 0.   (row 69)
# adv.rng_Född_Barn1: 00:00:00   (row 73)
# adv.rng_Född_Barn2: 00:00:00   (row 74)
# adv.rng_Född_Barn3: 00:00:00   (row 75)
# adv.rng_Född_Barn4: 00:00:00   (row 76)
# adv.rng_def_ar: 0.   (row 81)
# adv.rngLönPartUttag: Arbetar deltid   (row 84)
# adv.rng_PBHYear: 0.   (row 87)
# adv.rng_PBH_IP: 2800000.   (row 88)
# adv.rng_PBH_PP: 1000000.   (row 89)
# adv.rng_PBH_tjp: 8000000.   (row 90)
# adv.rng_PBH_IPS: 0.   (row 91)
# adv.rng_Avkastning_val: 2.   (row 94)
# adv.Risk: 0.   (row 95)
# adv.rng_Avkastning_fondavgifter: 1.   (row 96)
# adv.Mortality: 0.   (row 100)
# adv.Average_Earning: 5.   (row 103)
# adv.rng_wyears: 36.   (row 106)
# adv.rng_Bara_fastapriser: 0.   (row 110)
# adv.rng_Sista_PensRatt: 0.   (row 111)
# adv.rng_alt_last_pratt: 0.   (row 114)
# adv.Tl_spec_y: 0.   (row 116)
# adv.TL_special: 1.   (row 117)
# adv.Rules: 0.   (row 119)
# adv.RulesFromUtg: 0.   (row 120)
# adv.RulesFromSkatt: 0.   (row 121)
# adv.Wealth: 0.   (row 125)
# adv.Resp_tjp: 1.   (row 128)
# adv.Rng_resp_rel: 0.   (row 129)
# adv.Rng_resp_max: 1.   (row 130)
# adv.Verbose: 1.   (row 132)
# adv.rng_discount: 0.05   (row 134)
# adv.Wage_profil: 0.   (row 141)
# adv.rngTurboMode: 0   (row 143)
# adv.rngDelnIPMort: 1958.   (row 144)
# adv.rngDelnPPMort: 1958.   (row 145)
Födelseår,Börjar arbeta vid ålder,Går i pension vid ålder,Årslön,Årlig inflation,Real tillväxt,Real fondavkastning,Egen Lönelista,Privat pensionssparande (med avdragsrätt),Välj tjänstepension,Slutlön,Brutto-pension,Inkomstpension,Tilläggspension,Premiepension,Garanti-pension,P_tillägg,Tjänstepension,Eget sparande,Efter skatt,Bostadstillägg + ÄFS,Disponibel inkomst
1937.,23.,66.,462000.,0.,0.,0.017,0.,0.,1.,0.,27608.8331954982,0.,27608.8331954982,0.,0.,0.,0.,0.,19566.6521160692,0.,19566.6521160692
1937.,23.,66.,462000.,0.,0.,0.017,0.,0.,2.,0.,816500.055949085,0.,27608.8331954982,0.,0.,0.,788891.222753587,0.,366623.111562571,0.,366623.111562571
1937.,23.,66.,462000.,0.,0.,0.017,0.,0.,3.,0.,27789.1848549135,0.,27608.8331954982,0.,0.,0.,180.3516594153,0.,19684.0059388971,0.,19684.0059388971
1937.,23.,66.,462000.,0.,0.,0.017,0.,0.,4.,0.,31818.5415123512,0.,27608.8331954982,0.,0.,0.,4209.708316853,0.,22321.2732252226,0.,22321.2732252226
1937.,23.,66.,462000.,0.,0.,0.017,0.,0.,5.,0.,131536.476933587,0.,27608.8331954982,0.,0.,0.,103927.643738089,0.,67977.2958062158,0.,67977.2958062158
1937.,23.,66.,462000.,0.,0.,0.017,0.,0.,6.,0.,159896.77537665,0.,27608.8331954982,0.,0.,0.,132287.942181151,0.,80345.2865832464,0.,80345.2865832464
1937.,23.,66.,462000.,0.,0.,0.017,0.,0.,7.,0.,29475.4728704469,0.,27608.8331954982,0.,0.,0.,1866.6396749488,0.,20788.2841201922,0.,20788.2841201922
1937.,23.,66.,462000.,0.,0.,0.017,0.,0.,8.,0.,861908.094998382,0.,27608.8331954982,0.,0.,0.,834299.261802884,0.,386417.958625484,0.,386417.958625484
1938.,23.,66.,462000.,0.,0.,0.017,0.,0.,1.,0.,26948.4346922691,4508.6257075303,22403.8717489432,35.9372357957,0.,0.,0.,0.,19073.4383344081,0.,19073.4383344081
1938.,23.,66.,462000.,0.,0.,0.017,0.,0.,2.,0.,443839.835924626,4508.6257075303,22403.8717489432,35.9372357957,0.,0.,416891.401232356,0.,202907.747623654,0.,202907.747623654
1938.,23.,66.,462000.,0.,0.,0.017,0.,0.,3.,0.,27141.5973346708,4508.6257075303,22403.8717489432,35.9372357957,0.,0.,193.1626424017,0.,19199.2186596929,0.,19199.2186596929
1938.,23.,66.,462000.,0.,0.,0.017,0.,0.,4.,0.,30883.5620118937,4508.6257075303,22403.8717489432,35.9372357957,0.,0.,3935.1273196246,0.,21634.7150772611,0.,21634.7150772611
1938.,23.,66.,462000.,0.,0.,0.017,0.,0.,5.,0.,90906.2327147668,4508.6257075303,22403.8717489432,35.9372357957,0.,0.,63957.7980224977,0.,50193.3375844857,0.,50193.3375844857
1938.,23.,66.,462000.,0.,0.,0.017,0.,0.,6.,0.,106703.642616608,4508.6257075303,22403.8717489432,35.9372357957,0.,0.,79755.207924339,0.,57029.0240918536,0.,57029.0240918536
1938.,23.,66.,462000.,0.,0.,0.017,0.,0.,7.,0.,28095.4314680805,4508.6257075303,22403.8717489432,35.9372357957,0.,0.,1146.9967758114,0.,19820.6333619928,0.,19820.6333619928
1938.,23.,66.,462000.,0.,0.,0.017,0.,0.,8.,0.,468016.611306155,4508.6257075303,22403.8717489432,35.9372357957,0.,0.,441068.176613886,0.,213372.845382245,0.,213372.845382245
1953.,23.,66.,462000.,0.,0.,0.017,0.,0.,1.,0.,25133.0701250524,21542.9888111051,1515.5620175911,2074.5192963561,0.,0.,0.,0.,19612.7938680468,0.,19612.7938680468
1953.,23.,66.,462000.,0.,0.,0.017,0.,0.,2.,0.,216048.867647939,21542.9888111051,1515.5620175911,2074.5192963561,0.,0.,190915.797522886,0.,107110.86587786,0.,107110.86587786
1953.,23.,66.,462000.,0.,0.,0.017,0.,0.,3.,0.,28549.3369831867,21542.9888111051,1515.5620175911,2074.5192963561,0.,0.,3416.2668581344,0.,21870.7145086659,0.,21870.7145086659
1953.,23.,66.,462000.,0.,0.,0.017,0.,0.,4.,0.,37735.2434033387,21542.9888111051,1515.5620175911,2074.5192963561,0.,0.,12602.1732782864,0.,28020.3908334829,0.,28020.3908334829
1953.,23.,66.,462000.,0.,0.,0.017,0.,0.,5.,0.,56609.7426554179,21542.9888111051,1515.5620175911,2074.5192963561,0.,0.,31476.6725303656,0.,40059.2302100162,0.,40059.2302100162
1953.,23.,66.,462000.,0.,0.,0.017,0.,0.,6.,0.,66507.1629270628,21542.9888111051,1515.5620175911,2074.5192963561,0.,0.,41374.0928020104,0.,44267.5616236862,0.,44267.5616236862
1953.,23.,66.,462000.,0.,0.,0.017,0.,0.,7.,0.,32807.1659187459,21542.9888111051,1515.5620175911,2074.5192963561,0.,0.,7674.0957936935,0.,24720.104484533,0.,24720.104484533
1953.,23.,66.,462000.,0.,0.,0.017,0.,0.,8.,0.,230380.432238377,21542.9888111051,1515.5620175911,2074.5192963561,0.,0.,205247.362113325,0.,113216.671767486,0.,113216.671767486
1954.,23.,66.,462000.,0.,0.,0.017,0.,0.,1.,0.,25853.7402953084,22940.8706239581,0.,2912.8696713503,0.,0.,0.,0.,20355.8698797333,0.,20355.8698797333
1954.,23.,66.,462000.,0.,0.,0.017,0.,0.,2.,0.,176862.577994761,22940.8706239581,0.,2912.8696713503,0.,0.,151008.837699452,0.,95725.6986385647,0.,95725.6986385647
1954.,23.,66.,462000.,0.,0.,0.017,0.,0.,3.,0.,29180.9566563467,22940.8706239581,0.,2912.8696713503,0.,0.,3327.2163610383,0.,22671.7941325316,0.,22671.7941325316
1954.,23.,66.,462000.,0.,0.,0.017,0.,0.,4.,0.,38913.7488687783,22940.8706239581,0.,2912.8696713503,0.,0.,13060.0085734699,0.,29448.2704116059,0.,29448.2704116059
1954.,23.,66.,462000.,0.,0.,0.017,0.,0.,5.,0.,54713.6715884735,22940.8706239581,0.,2912.8696713503,0.,0.,28859.931293165,0.,39810.8778875923,0.,39810.8778875923
1954.,23.,66.,462000.,0.,0.,0.017,0.,0.,6.,0.,62521.5559061681,22940.8706239581,0.,2912.8696713503,0.,0.,36667.8156108597,0.,43651.1541636898,0.,43651.1541636898
1954.,23.,66.,462000.,0.,0.,0.017,0.,0.,7.,0.,33329.4006906406,22940.8706239581,0.,2912.8696713503,0.,0.,7475.6603953322,0.,25559.4670457252,0.,25559.4670457252
1954.,23.,66.,462000.,0.,0.,0.017,0.,0.,8.,0.,188613.599428435,22940.8706239581,0.,2912.8696713503,0.,0.,162759.859133127,0.,101302.373729856,0.,101302.373729856
1959.,23.,63.,180000.,0.,0.,0.017,0.,0.,4.,53492.2087835092,21232.2286574709,17513.3294076524,0.,3718.8992498185,0.,0.,0.,0.,15222.4994577541,0.,15222.4994577541
1959.,23.,66.,180000.,0.,0.,0.017,0.,0.,4.,0.,46696.,19690.,0.,4726.,0.,0.,22280.,0.,31929.25,0.,31929.25
1959.,23.,70.,180000.,0.,0.,0.017,0.,0.,4.,0.,54778.,26191.,0.,6155.,0.,0.,22432.,0.,41797.3333333333,0.,41797.3333333333
1959.,23.,63.,462000.,0.,0.,0.017,0.,0.,4.,53492.2087835092,21232.2286574709,17513.3294076524,0.,3718.8992498185,0.,0.,0.,0.,15222.4994577541,0.,15222.4994577541
1959.,23.,66.,462000.,0.,0.,0.017,0.,0.,4.,0.,46696.,19690.,0.,4726.,0.,0.,22280.,0.,31929.25,0.,31929.25
1959.,23.,70.,462000.,0.,0.,0.017,0.,0.,4.,0.,54778.,26191.,0.,6155.,0.,0.,22432.,0.,41797.3333333333,0.,41797.3333333333
1959.,23.,63.,660000.,0.,0.,0.017,0.,0.,4.,53492.2087835092,21232.2286574709,17513.3294076524,0.,3718.8992498185,0.,0.,0.,0.,15222.4994577541,0.,15222.4994577541
1959.,23.,66.,660000.,0.,0.,0.017,0.,0.,4.,0.,46696.,19690.,0.,4726.,0.,0.,22280.,0.,31929.25,0.,31929.25
